Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
HABOOM,Chrome 122.0.0.0,,,26-02-2024 11:51:02,26-02-2024 11:51:37,35.172s,PASSED
,,,,,,,
Test Cases/JOINNOW/Joinnow valid,Chrome 122.0.0.0,"Expected: With valid credentials, the user should be able to register and enter the homepage.
Actual: With valid credentials, the user is able to register and enter the homepage.",Joinnow,26-02-2024 11:51:02,26-02-2024 11:51:22,19.549s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,26-02-2024 11:51:02,26-02-2024 11:51:04,1.348s,PASSED
maximizeWindow(),Chrome 122.0.0.0,,,26-02-2024 11:51:04,26-02-2024 11:51:04,0.149s,PASSED
"navigateToUrl(""https://haboom.com/"")",Chrome 122.0.0.0,,,26-02-2024 11:51:04,26-02-2024 11:51:10,5.979s,PASSED
"click(findTestObject(""Object Repository/JOINNOW/Joinnow valid/Join Now_button""))",Chrome 122.0.0.0,,,26-02-2024 11:51:10,26-02-2024 11:51:15,4.772s,PASSED
randomusername = RandomStringUtils.randomAlphabetic(10),Chrome 122.0.0.0,,,26-02-2024 11:51:15,26-02-2024 11:51:15,0.032s,PASSED
"setText(findTestObject(""Object Repository/JOINNOW/Joinnow valid/User name_Field""), randomusername)",Chrome 122.0.0.0,,,26-02-2024 11:51:15,26-02-2024 11:51:16,0.942s,PASSED
randomemail = RandomStringUtils.randomAlphanumeric(10),Chrome 122.0.0.0,,,26-02-2024 11:51:16,26-02-2024 11:51:16,0.002s,PASSED
"setText(findTestObject(""Object Repository/JOINNOW/Joinnow valid/Email address_Field""), randomemail + ""@gmail.com"")",Chrome 122.0.0.0,,,26-02-2024 11:51:16,26-02-2024 11:51:16,0.851s,PASSED
"setEncryptedText(findTestObject(""Object Repository/JOINNOW/Joinnow valid/Password_Field""), ""Ae2KZyjYBr3zjExtfoMITg=="")",Chrome 122.0.0.0,,,26-02-2024 11:51:16,26-02-2024 11:51:17,0.359s,PASSED
randomnumber = RandomStringUtils.randomNumeric(12),Chrome 122.0.0.0,,,26-02-2024 11:51:17,26-02-2024 11:51:17,0.000s,PASSED
"setText(findTestObject(""Object Repository/JOINNOW/Joinnow valid/Mobile number_Field""), randomnumber)",Chrome 122.0.0.0,,,26-02-2024 11:51:17,26-02-2024 11:51:17,0.592s,PASSED
delay(2),Chrome 122.0.0.0,,,26-02-2024 11:51:17,26-02-2024 11:51:19,2.040s,PASSED
"click(findTestObject(""Object Repository/JOINNOW/Joinnow valid/Register_button""))",Chrome 122.0.0.0,,,26-02-2024 11:51:19,26-02-2024 11:51:20,0.293s,PASSED
delay(2),Chrome 122.0.0.0,,,26-02-2024 11:51:20,26-02-2024 11:51:22,2.010s,PASSED
,,,,,,,
Test Cases/JOINNOW/Joinnow invalid,Chrome 122.0.0.0,"Expected: With invalid credentials, the user should not be able to register, and it should throw an error popup.
Actual: With invalid credentials, the user is not able to register, and it throws an error popup.",Joinnow invalid,26-02-2024 11:51:22,26-02-2024 11:51:37,15.499s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,26-02-2024 11:51:22,26-02-2024 11:51:23,1.559s,PASSED
maximizeWindow(),Chrome 122.0.0.0,,,26-02-2024 11:51:23,26-02-2024 11:51:24,0.130s,PASSED
"navigateToUrl(""https://haboom.com/"")",Chrome 122.0.0.0,,,26-02-2024 11:51:24,26-02-2024 11:51:29,5.329s,PASSED
"click(findTestObject(""JOINNOW/Joinnow Invalid/Join Now_button""))",Chrome 122.0.0.0,,,26-02-2024 11:51:29,26-02-2024 11:51:31,1.980s,PASSED
randomusername = RandomStringUtils.randomAlphabetic(10),Chrome 122.0.0.0,,,26-02-2024 11:51:31,26-02-2024 11:51:31,0.000s,PASSED
"setText(findTestObject(""JOINNOW/Joinnow Invalid/User name_Field""), randomusername)",Chrome 122.0.0.0,,,26-02-2024 11:51:31,26-02-2024 11:51:32,1.449s,PASSED
randomemail = RandomStringUtils.randomAlphanumeric(10),Chrome 122.0.0.0,,,26-02-2024 11:51:32,26-02-2024 11:51:32,0.001s,PASSED
"setText(findTestObject(""JOINNOW/Joinnow Invalid/Email address_Field""), randomemail + ""gmail.com"")",Chrome 122.0.0.0,,,26-02-2024 11:51:32,26-02-2024 11:51:33,0.576s,PASSED
"setEncryptedText(findTestObject(""JOINNOW/Joinnow Invalid/Password_Field""), ""Ae2KZyjYBr3zjExtfoMITg=="")",Chrome 122.0.0.0,,,26-02-2024 11:51:33,26-02-2024 11:51:33,0.355s,PASSED
randomnumber = RandomStringUtils.randomNumeric(10),Chrome 122.0.0.0,,,26-02-2024 11:51:33,26-02-2024 11:51:33,0.005s,PASSED
"setText(findTestObject(""JOINNOW/Joinnow Invalid/Mobile number_Field""), randomnumber)",Chrome 122.0.0.0,,,26-02-2024 11:51:33,26-02-2024 11:51:34,0.571s,PASSED
delay(2),Chrome 122.0.0.0,,,26-02-2024 11:51:34,26-02-2024 11:51:36,2.005s,PASSED
"click(findTestObject(""JOINNOW/Joinnow Invalid/Register_button""))",Chrome 122.0.0.0,,,26-02-2024 11:51:36,26-02-2024 11:51:36,0.291s,PASSED
"verifyElementPresent(findTestObject(""JOINNOW/Joinnow Invalid/Error Invalid Phone Number""), 0)",Chrome 122.0.0.0,,,26-02-2024 11:51:36,26-02-2024 11:51:37,0.493s,PASSED
takeScreenshot(STOP_ON_FAILURE),Chrome 122.0.0.0,,,26-02-2024 11:51:37,26-02-2024 11:51:37,0.637s,PASSED
