Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
My Account,Chrome 121.0.0.0,,,26-02-2024 14:04:07,26-02-2024 14:05:46,1m - 39.040s,PASSED
,,,,,,,
Test Cases/My Account/Payment_Deposit successful in Bank Transfer,Chrome 121.0.0.0,"Expected Result: To check whether the user is able to deposit using bank transfer
Actual result: The user is able to deposit using Bank transfer",,26-02-2024 14:04:08,26-02-2024 14:04:47,39.023s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,26-02-2024 14:04:08,26-02-2024 14:04:09,1.270s,PASSED
"navigateToUrl(""https://haboom.com/"")",Chrome 121.0.0.0,,,26-02-2024 14:04:09,26-02-2024 14:04:17,8.004s,PASSED
"setText(findTestObject(""Object Repository/My Account_Payment/Deposit Bank Transfer/login to My haboom account/Login username""), ""Sherlock"")",Chrome 121.0.0.0,,,26-02-2024 14:04:17,26-02-2024 14:04:20,3.070s,PASSED
"setEncryptedText(findTestObject(""Object Repository/My Account_Payment/Deposit Bank Transfer/login to My haboom account/Login password""), ""Ae2KZyjYBr0MQlyqU7ThAA=="")",Chrome 121.0.0.0,,,26-02-2024 14:04:20,26-02-2024 14:04:22,1.650s,PASSED
"click(findTestObject(""Object Repository/My Account_Payment/Deposit Bank Transfer/login to My haboom account/Log Button""))",Chrome 121.0.0.0,,,26-02-2024 14:04:22,26-02-2024 14:04:23,1.211s,PASSED
"click(findTestObject(""Object Repository/My Account_Payment/Deposit Bank Transfer/login to My haboom account/My Account""))",Chrome 121.0.0.0,,,26-02-2024 14:04:23,26-02-2024 14:04:26,2.867s,PASSED
"click(findTestObject(""Object Repository/My Account_Payment/Deposit Bank Transfer/login to My haboom account/My Haboom Account""))",Chrome 121.0.0.0,,,26-02-2024 14:04:26,26-02-2024 14:04:28,2.677s,PASSED
"click(findTestObject(""Object Repository/My Account_Payment/Deposit Bank Transfer/Bank transfer page/Payments""))",Chrome 121.0.0.0,,,26-02-2024 14:04:28,26-02-2024 14:04:30,1.520s,PASSED
"click(findTestObject(""Object Repository/My Account_Payment/Deposit Bank Transfer/Bank transfer page/Deposit""))",Chrome 121.0.0.0,,,26-02-2024 14:04:30,26-02-2024 14:04:32,2.005s,PASSED
"click(findTestObject(""Object Repository/My Account_Payment/Deposit Bank Transfer/Bank transfer page/Bank Transfer""))",Chrome 121.0.0.0,,,26-02-2024 14:04:32,26-02-2024 14:04:37,4.527s,PASSED
"setText(findTestObject(""Object Repository/My Account_Payment/Deposit Bank Transfer/Bank transfer page/Amount input field""), ""1000"")",Chrome 121.0.0.0,,,26-02-2024 14:04:37,26-02-2024 14:04:37,0.419s,PASSED
"click(findTestObject(""Object Repository/My Account_Payment/Deposit Bank Transfer/Bank transfer page/Pay button""))",Chrome 121.0.0.0,,,26-02-2024 14:04:37,26-02-2024 14:04:37,0.352s,PASSED
"setText(findTestObject(""Object Repository/My Account_Payment/Deposit Bank Transfer/Bank transfer page/UTR number enter field""), ""54892179621539569"")",Chrome 121.0.0.0,,,26-02-2024 14:04:37,26-02-2024 14:04:38,0.404s,PASSED
"click(findTestObject(""Object Repository/My Account_Payment/Deposit Bank Transfer/Bank transfer page/UTR Submit button""))",Chrome 121.0.0.0,,,26-02-2024 14:04:38,26-02-2024 14:04:38,0.372s,PASSED
delay(2),Chrome 121.0.0.0,,,26-02-2024 14:04:38,26-02-2024 14:04:40,2.031s,PASSED
takeFullPageScreenshot(),Chrome 121.0.0.0,,,26-02-2024 14:04:40,26-02-2024 14:04:41,0.666s,PASSED
"click(findTestObject(""My Account_Payment/Transaction history page/Transaction page/Betting Activity""))",Chrome 121.0.0.0,,,26-02-2024 14:04:41,26-02-2024 14:04:41,0.308s,PASSED
"click(findTestObject(""My Account_Payment/Transaction history page/Transaction page/Transaction History""))",Chrome 121.0.0.0,,,26-02-2024 14:04:41,26-02-2024 14:04:43,1.430s,PASSED
"click(findTestObject(""My Account_Payment/Transaction history page/Transaction page/Transaction History (Options)""))",Chrome 121.0.0.0,,,26-02-2024 14:04:43,26-02-2024 14:04:43,0.756s,PASSED
"click(findTestObject(""My Account_Payment/Transaction history page/Transaction page/Transactions filter""))",Chrome 121.0.0.0,,,26-02-2024 14:04:43,26-02-2024 14:04:44,0.515s,PASSED
"click(findTestObject(""My Account_Payment/Transaction history page/Transaction page/Deposit Requests""))",Chrome 121.0.0.0,,,26-02-2024 14:04:44,26-02-2024 14:04:44,0.287s,PASSED
delay(2),Chrome 121.0.0.0,,,26-02-2024 14:04:44,26-02-2024 14:04:46,2.007s,PASSED
takeFullPageScreenshot(),Chrome 121.0.0.0,,,26-02-2024 14:04:46,26-02-2024 14:04:47,0.479s,PASSED
,,,,,,,
Test Cases/My Account/Payment_Deposit failure in Instant method,Chrome 121.0.0.0,"Expected Result: To check the user is able to cancel the deposit
Actual Result: The user is able to cancel the deposit in  the Instant method",My Account,26-02-2024 14:04:47,26-02-2024 14:05:18,31.579s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,26-02-2024 14:04:47,26-02-2024 14:04:48,0.967s,PASSED
"navigateToUrl(""https://haboom.com/"")",Chrome 121.0.0.0,,,26-02-2024 14:04:48,26-02-2024 14:04:55,7.566s,PASSED
"setText(findTestObject(""My Account_Payment/My Account page/Login Username""), ""Sherlock"")",Chrome 121.0.0.0,,,26-02-2024 14:04:55,26-02-2024 14:04:59,3.689s,PASSED
"setText(findTestObject(""My Account_Payment/My Account page/Login Password""), ""Eternals@123"")",Chrome 121.0.0.0,,,26-02-2024 14:04:59,26-02-2024 14:05:01,2.489s,PASSED
"click(findTestObject(""My Account_Payment/My Account page/Login Button""))",Chrome 121.0.0.0,,,26-02-2024 14:05:01,26-02-2024 14:05:02,0.983s,PASSED
"click(findTestObject(""My Account_Payment/My Account page/My Account""))",Chrome 121.0.0.0,,,26-02-2024 14:05:02,26-02-2024 14:05:06,3.205s,PASSED
"click(findTestObject(""My Account_Payment/My Account page/My Haboom Account""))",Chrome 121.0.0.0,,,26-02-2024 14:05:06,26-02-2024 14:05:08,2.219s,PASSED
"click(findTestObject(""My Account_Payment/Deposit page/Payments""))",Chrome 121.0.0.0,,,26-02-2024 14:05:08,26-02-2024 14:05:08,0.632s,PASSED
"click(findTestObject(""My Account_Payment/Deposit page/Deposit""))",Chrome 121.0.0.0,,,26-02-2024 14:05:08,26-02-2024 14:05:11,2.143s,PASSED
"setText(findTestObject(""My Account_Payment/Deposit page/Page_Haboom - Best 1 Indias Online Sports Betting/Deposit amount entry""), ""1000"")",Chrome 121.0.0.0,,,26-02-2024 14:05:11,26-02-2024 14:05:11,0.928s,PASSED
"click(findTestObject(""My Account_Payment/Deposit page/Page_Haboom - Best 1 Indias Online Sports Betting/button_Deposit""))",Chrome 121.0.0.0,,,26-02-2024 14:05:11,26-02-2024 14:05:13,1.232s,PASSED
"switchToWindowTitle("""")",Chrome 121.0.0.0,,,26-02-2024 14:05:13,26-02-2024 14:05:15,1.977s,PASSED
"click(findTestObject(""My Account_Payment/Transaction page/Page_/Transaction_failure""))",Chrome 121.0.0.0,,,26-02-2024 14:05:15,26-02-2024 14:05:16,1.210s,PASSED
delay(2),Chrome 121.0.0.0,,,26-02-2024 14:05:16,26-02-2024 14:05:18,2.005s,PASSED
takeFullPageScreenshot(),Chrome 121.0.0.0,,,26-02-2024 14:05:18,26-02-2024 14:05:18,0.279s,PASSED
,,,,,,,
Test Cases/My Account/Payment_Deposit Error message for depositing less than minimum amount,Chrome 121.0.0.0,"Expected Result: To check the the user get a error message if they try to deposit amount less than the minimum
Actual Result: The user get a error message for inappropriate deposit",My Account,26-02-2024 14:05:18,26-02-2024 14:05:46,28.325s,PASSED
"openBrowser(""https://haboom.com/"")",Chrome 121.0.0.0,,,26-02-2024 14:05:18,26-02-2024 14:05:23,4.654s,PASSED
"setText(findTestObject(""My Account_Payment/My Account page/Login Username""), ""Sherlock"")",Chrome 121.0.0.0,,,26-02-2024 14:05:23,26-02-2024 14:05:26,3.044s,PASSED
"setText(findTestObject(""My Account_Payment/My Account page/Login Password""), ""Eternals@123"")",Chrome 121.0.0.0,,,26-02-2024 14:05:26,26-02-2024 14:05:29,3.492s,PASSED
"click(findTestObject(""My Account_Payment/My Account page/Login Button""))",Chrome 121.0.0.0,,,26-02-2024 14:05:29,26-02-2024 14:05:31,1.530s,PASSED
"click(findTestObject(""My Account_Payment/My Account page/My Account""))",Chrome 121.0.0.0,,,26-02-2024 14:05:31,26-02-2024 14:05:37,5.963s,PASSED
"click(findTestObject(""My Account_Payment/My Account page/My Haboom Account""))",Chrome 121.0.0.0,,,26-02-2024 14:05:37,26-02-2024 14:05:41,4.349s,PASSED
"click(findTestObject(""My Account_Payment/Deposit page/Payments""))",Chrome 121.0.0.0,,,26-02-2024 14:05:41,26-02-2024 14:05:42,0.633s,PASSED
"click(findTestObject(""My Account_Payment/Deposit page/Deposit""))",Chrome 121.0.0.0,,,26-02-2024 14:05:42,26-02-2024 14:05:44,2.079s,PASSED
"setText(findTestObject(""My Account_Payment/Deposit page/Page_Haboom - Best 1 Indias Online Sports Betting/Deposit amount entry""), ""10"")",Chrome 121.0.0.0,,,26-02-2024 14:05:44,26-02-2024 14:05:45,0.949s,PASSED
"click(findTestObject(""My Account_Payment/Deposit page/Page_Haboom - Best 1 Indias Online Sports Betting/button_Deposit""))",Chrome 121.0.0.0,,,26-02-2024 14:05:45,26-02-2024 14:05:45,0.566s,PASSED
takeFullPageScreenshot(),Chrome 121.0.0.0,,,26-02-2024 14:05:45,26-02-2024 14:05:46,0.576s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,26-02-2024 14:05:46,26-02-2024 14:05:46,0.443s,PASSED
