Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
My Account,Chrome 121.0.0.0,,,26-02-2024 17:01:33,26-02-2024 17:04:09,2m - 36.056s,PASSED
,,,,,,,
Test Cases/My Account/Payment_Deposit successful in Bank Transfer,Chrome 121.0.0.0,"Expected Result: To check whether the user is able to deposit using bank transfer
Actual result: The user is able to deposit using Bank transfer",,26-02-2024 17:01:33,26-02-2024 17:02:32,58.115s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,26-02-2024 17:01:34,26-02-2024 17:01:36,1.880s,PASSED
"navigateToUrl(""https://haboom.com/"")",Chrome 121.0.0.0,,,26-02-2024 17:01:36,26-02-2024 17:01:43,6.927s,PASSED
"setText(findTestObject(""Object Repository/My Account_Payment/Deposit Bank Transfer/login to My haboom account/Login username""), ""Sherlock"")",Chrome 121.0.0.0,,,26-02-2024 17:01:43,26-02-2024 17:01:47,4.728s,PASSED
"setEncryptedText(findTestObject(""Object Repository/My Account_Payment/Deposit Bank Transfer/login to My haboom account/Login password""), ""Ae2KZyjYBr0MQlyqU7ThAA=="")",Chrome 121.0.0.0,,,26-02-2024 17:01:47,26-02-2024 17:01:50,2.262s,PASSED
"click(findTestObject(""Object Repository/My Account_Payment/Deposit Bank Transfer/login to My haboom account/Log Button""))",Chrome 121.0.0.0,,,26-02-2024 17:01:50,26-02-2024 17:01:52,2.020s,PASSED
"click(findTestObject(""Object Repository/My Account_Payment/Deposit Bank Transfer/login to My haboom account/My Account""))",Chrome 121.0.0.0,,,26-02-2024 17:01:52,26-02-2024 17:01:58,6.716s,PASSED
"click(findTestObject(""Object Repository/My Account_Payment/Deposit Bank Transfer/login to My haboom account/My Haboom Account""))",Chrome 121.0.0.0,,,26-02-2024 17:01:58,26-02-2024 17:02:04,6.082s,PASSED
"click(findTestObject(""Object Repository/My Account_Payment/Deposit Bank Transfer/Bank transfer page/Payments""))",Chrome 121.0.0.0,,,26-02-2024 17:02:04,26-02-2024 17:02:05,0.702s,PASSED
"click(findTestObject(""Object Repository/My Account_Payment/Deposit Bank Transfer/Bank transfer page/Deposit""))",Chrome 121.0.0.0,,,26-02-2024 17:02:05,26-02-2024 17:02:09,4.447s,PASSED
"click(findTestObject(""Object Repository/My Account_Payment/Deposit Bank Transfer/Bank transfer page/Bank Transfer""))",Chrome 121.0.0.0,,,26-02-2024 17:02:09,26-02-2024 17:02:18,8.674s,PASSED
"setText(findTestObject(""Object Repository/My Account_Payment/Deposit Bank Transfer/Bank transfer page/Amount input field""), ""1000"")",Chrome 121.0.0.0,,,26-02-2024 17:02:18,26-02-2024 17:02:19,0.734s,PASSED
