Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
My Account,Chrome 122.0.0.0,,,27-02-2024 15:16:41,27-02-2024 15:21:00,4m - 19.228s,PASSED
,,,,,,,
Test Cases/My Account/Payment_Deposit successful in Instant method,Chrome 122.0.0.0,"Expected Result: To check whether the user is able to deposit using ""Instant Method""..
Actual Result:The user is able to deposit using ""Instant  Method"".",Payment,27-02-2024 15:16:41,27-02-2024 15:17:15,34.069s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,27-02-2024 15:16:41,27-02-2024 15:16:43,1.543s,PASSED
"navigateToUrl(""https://haboom.com/"")",Chrome 122.0.0.0,,,27-02-2024 15:16:43,27-02-2024 15:16:49,6.796s,PASSED
"setText(findTestObject(""Object Repository/My Account_Payment/My Account page/Login Username""), ""Sherlock"")",Chrome 122.0.0.0,,,27-02-2024 15:16:49,27-02-2024 15:16:53,3.652s,PASSED
"setEncryptedText(findTestObject(""Object Repository/My Account_Payment/My Account page/Login Password""), ""Ae2KZyjYBr0MQlyqU7ThAA=="")",Chrome 122.0.0.0,,,27-02-2024 15:16:53,27-02-2024 15:16:55,1.901s,PASSED
"click(findTestObject(""Object Repository/My Account_Payment/My Account page/Login Button""))",Chrome 122.0.0.0,,,27-02-2024 15:16:55,27-02-2024 15:16:56,0.890s,PASSED
"click(findTestObject(""Object Repository/My Account_Payment/My Account page/My Account""))",Chrome 122.0.0.0,,,27-02-2024 15:16:56,27-02-2024 15:16:59,3.343s,PASSED
"click(findTestObject(""Object Repository/My Account_Payment/My Account page/My Haboom Account""))",Chrome 122.0.0.0,,,27-02-2024 15:16:59,27-02-2024 15:17:07,8.038s,PASSED
"click(findTestObject(""Object Repository/My Account_Payment/Deposit page/Payments""))",Chrome 122.0.0.0,,,27-02-2024 15:17:07,27-02-2024 15:17:08,0.666s,PASSED
"click(findTestObject(""My Account_Payment/Deposit Bank Transfer/Bank transfer page/Deposit""))",Chrome 122.0.0.0,,,27-02-2024 15:17:08,27-02-2024 15:17:10,1.818s,PASSED
"click(findTestObject(""My Account_Payment/Deposit page/Instant Page/Instant Methods""))",Chrome 122.0.0.0,,,27-02-2024 15:17:10,27-02-2024 15:17:11,1.193s,PASSED
"setText(findTestObject(""My Account_Payment/Deposit page/deposit input field/input instant method""), ""1000"")",Chrome 122.0.0.0,,,27-02-2024 15:17:11,27-02-2024 15:17:11,0.427s,PASSED
"click(findTestObject(""My Account_Payment/Deposit page/Deposit Page/button_Deposit""))",Chrome 122.0.0.0,,,27-02-2024 15:17:11,27-02-2024 15:17:12,0.641s,PASSED
"switchToWindowTitle("""")",Chrome 122.0.0.0,,,27-02-2024 15:17:12,27-02-2024 15:17:13,0.752s,PASSED
"click(findTestObject(""Object Repository/My Account_Payment/Transaction page/Transaction success button""))",Chrome 122.0.0.0,,,27-02-2024 15:17:13,27-02-2024 15:17:14,1.386s,PASSED
takeFullPageScreenshot(),Chrome 122.0.0.0,,,27-02-2024 15:17:14,27-02-2024 15:17:14,0.463s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,27-02-2024 15:17:14,27-02-2024 15:17:15,0.373s,PASSED
,,,,,,,
Test Cases/My Account/Payment_Deposit Error message for depositing less than minimum amount,Chrome 122.0.0.0,"Expected Result: To check the the user get a error message if they try to deposit amount less than the minimum
Actual Result: The user get a error message for inappropriate deposit",My Account,27-02-2024 15:17:15,27-02-2024 15:17:47,31.686s,PASSED
"openBrowser(""https://haboom.com/"")",Chrome 122.0.0.0,,,27-02-2024 15:17:15,27-02-2024 15:17:22,7.396s,PASSED
"setText(findTestObject(""My Account_Payment/My Account page/Login Username""), ""Sherlock"")",Chrome 122.0.0.0,,,27-02-2024 15:17:22,27-02-2024 15:17:26,3.360s,PASSED
"setText(findTestObject(""My Account_Payment/My Account page/Login Password""), ""Eternals@123"")",Chrome 122.0.0.0,,,27-02-2024 15:17:26,27-02-2024 15:17:29,2.835s,PASSED
"click(findTestObject(""My Account_Payment/My Account page/Login Button""))",Chrome 122.0.0.0,,,27-02-2024 15:17:29,27-02-2024 15:17:30,1.717s,PASSED
"click(findTestObject(""My Account_Payment/My Account page/My Account""))",Chrome 122.0.0.0,,,27-02-2024 15:17:30,27-02-2024 15:17:36,5.736s,PASSED
"click(findTestObject(""My Account_Payment/My Account page/My Haboom Account""))",Chrome 122.0.0.0,,,27-02-2024 15:17:36,27-02-2024 15:17:40,4.059s,PASSED
"click(findTestObject(""My Account_Payment/Deposit page/Payments""))",Chrome 122.0.0.0,,,27-02-2024 15:17:40,27-02-2024 15:17:41,0.859s,PASSED
"click(findTestObject(""My Account_Payment/Deposit page/Deposit""))",Chrome 122.0.0.0,,,27-02-2024 15:17:41,27-02-2024 15:17:44,3.139s,PASSED
"setText(findTestObject(""My Account_Payment/Deposit page/Payment link/Deposit amount entry""), ""10"")",Chrome 122.0.0.0,,,27-02-2024 15:17:44,27-02-2024 15:17:45,0.871s,PASSED
